Model_Name,PRED,Strategy_Class,Equity_Final_$,Equity_Peak_$,Return_%,#_Trades,Win_Rate,Commission,Cash
3C-1H-LSTM_1H_43F_Class_01_Train.csv,False,limits,29299196.29,29483305.65,2929819.629,18630.0,69.01771337,0.0001,1000
3C-1H-LSTM_1H_43F_Class_01_Train.csv,False,limits,29299196.29,29483305.65,2929819.629,18630.0,69.01771337,0.0001,1000
3C-1H-LSTM_1H_43F_Class_01_Train.csv,True,limits,12832.5519,12913.18869,1183.25519,11964.0,54.32129723,0.0001,1000
3C-1H-LSTM_1H_43F_Class_01_Train.csv,True,limits,12832.5519,12913.18869,1183.25519,11964.0,54.32129723,0.0001,1000
3C-1H-LSTM_1H_43F_Class_01_Test.csv,False,limits,2294.241684,2325.17428,129.4241684,5261.0,58.77209656,0.0001,1000
3C-1H-LSTM_1H_43F_Class_01_Test.csv,True,limits,793.1457916,1033.615103,-20.68542084,4127.0,48.77635086,0.0001,1000
5C-LSTM_1H_42F_Class_01_Train.csv,True,limits,400.6308973,1170.700414,-59.93691027,7683.0,47.48145256,0.0001,1000
5C-LSTM_1H_42F_Class_01_Train.csv,False,limits,9.5e+17,9.5e+17,9.5e+16,19135.0,90.30049647,0.0001,1000
C-LSTM_1D_19F_Class_03_Test.csv,False,limits,2563.493477,2563.493477,156.34934769999995,156.0,87.82051282,0.0001,1000
C-LSTM_1D_19F_Class_03_Test.csv,True,limits,1011.550169,1026.828905,1.155016939,128.0,45.3125,0.0001,1000
5C-LSTM_1H_42F_Class_01_Test.csv,False,limits,4742947.556,4742947.556,474194.7556,6460.0,95.72755418,0.0001,1000
5C-LSTM_1H_42F_Class_01_Test.csv,True,limits,375.2455817,1013.390121,-62.47544183,6764.0,42.41573034,0.0001,1000
5C_1D_45F_5137Size_LSTM_10Range_5Epochs_Class_02_Test.csv,True,limits,946.7311832,1054.411968,-5.326881679,75.0,48.0,0.0001,1000
3C_1D_30F_5137Size_XGBOOST_Class_05_Full.csv,True,limits,1437884636.0,1437884636.0,143788363.6,1636.0,91.56479218,0.0001,1000
3C_1D_30F_5137Size_XGBOOST_Class_05_Full.csv,False,limits,74960057894.0,74960057894.0,7496005689.0,1770.0,99.3220339,0.0001,1000
3C-1D-LSTM_1D_43F_Class_01_Test.csv,True,limits,899.8040235,1047.936288,-10.01959765,193.0,50.25906736,0.0001,1000
3C-1D-LSTM_1D_43F_Class_01_Test.csv,False,limits,6991.056454000001,6991.056454000001,599.1056454,218.0,98.62385321,0.0001,1000
3C-1D-LSTM_1D_43F_Class_01_Train.csv,True,limits,42780.48016,42780.48016,4178.048016,907.0,65.93164278,0.0001,1000
3C-1D-LSTM_1D_43F_Class_01_Train.csv,False,limits,874505415.1,874505415.1,87450441.51,1277.0,99.37353171,0.0001,1000
5C-1D-LSTM_1D_43F_Class_01_Test.csv,True,limits,929.4867121,1062.152147,-7.051328793,90.0,44.44444444,0.0001,1000
5C-1D-LSTM_1D_43F_Class_01_Test.csv,False,limits,3386.4924170000004,3386.4924170000004,238.6492417,158.0,91.7721519,0.0001,1000
5C_1D_14F_5137Size_XGBOOST_Class_01_Full.csv,True,limits,63165754.23,64455186.24,6316475.423,1028.0,89.78599222,0.0001,1000
5C_1D_14F_5137Size_XGBOOST_Class_01_Full.csv,False,limits,1712679309.0,1712679309.0,171267830.9,1144.0,97.29020979,0.0001,1000
3C-1D-LSTM_1D_43F_Class_01_Test.csv,True,limits,1000.0,1000.0,0.0,0.0,,0.0001,1000
3C-1D-LSTM_1D_43F_Class_01_Test.csv,False,limits,1699.772336,1699.772336,69.97723362,58.0,91.37931034,0.0001,1000
C-LSTM_1D_19F_Class_03_Test.csv,True,limits,1011.550169,1026.828905,1.155016939,128.0,45.3125,0.0001,1000
C-LSTM_1D_19F_Class_03_Test.csv,False,limits,2563.493477,2563.493477,156.34934769999995,156.0,87.82051282,0.0001,1000
3C_1D_62F_5137Size_XGBOOST_Class_01_Full.csv,True,limits,977334873.9635676,979298027.2137568,97733387.39635676,1646.0,91.06925880923453,0.0001,1000
3C_1D_62F_5137Size_XGBOOST_Class_01_Full.csv,False,limits,74960057893.84389,74960057893.84389,7496005689.384389,1770.0,99.32203389830508,0.0001,1000
3C_1D_137F_5137Size_XGBOOST_Class_01_Full.csv,True,limits,687436479.9590652,687436479.9590652,68743547.99590655,1566.0,91.3793103448276,0.0001,1000
3C_1D_137F_5137Size_XGBOOST_Class_01_Full.csv,False,limits,74960057893.84389,74960057893.84389,7496005689.384389,1770.0,99.32203389830508,0.0001,1000
3C_1D_137F_5137Size_XGBOOST_Class_01_Test.csv,True,limits,1162.4004949392954,1216.8736094763192,16.240049493929565,224.0,54.01785714285714,0.0001,1000
3C_1D_137F_5137Size_XGBOOST_Class_01_Test.csv,False,limits,26523.337849769883,26523.337849769883,2552.3337849769878,386.0,99.22279792746113,0.0001,1000
3C_1D_137F_5137Size_XGBOOST_Class_01_Test.csv,True,limits,1162.4004949392954,1216.8736094763192,16.240049493929565,224.0,54.01785714285714,0.0001,1000
3C_1D_137F_5137Size_XGBOOST_Class_01_Test.csv,False,limits,26523.337849769883,26523.337849769883,2552.3337849769878,386.0,99.22279792746113,0.0001,1000
3C_1H_62F_102514Size_XGBOOST_Class_01_Test.csv,True,limits,947.8402433756717,1037.772783181282,-5.215975662432824,389.0,59.897172236503856,0.0001,1000
3C_1H_62F_102514Size_XGBOOST_Class_01_Test.csv,False,limits,18618228.15598646,18618228.15598646,1861722.815598646,6456.0,98.0173482032218,0.0001,1000
3C_1H_62F_102514Size_XGBOOST_Class_01_Train.csv,True,limits,736478041342466.8,736651798005423.6,73647804134146.69,26350.0,77.47628083491463,0.0001,1000
3C_1H_62F_102514Size_XGBOOST_Class_01_Train.csv,False,limits,8.255613131493246e+28,8.257560871558621e+28,8.255613131493246e+27,30378.0,98.37382316149844,0.0001,1000
3C_1H_62F_57514Size_XGBOOST_Class_01_Test.csv,True,limits,818.6990047436168,1001.8011071121248,-18.13009952563832,1716.0,52.21445221445221,0.0001,1000
3C_1H_62F_57514Size_XGBOOST_Class_01_Test.csv,False,limits,165217.41722485024,165217.41722485024,16421.741722485025,3382.0,97.54583086930808,0.0001,1000
3C_1H_62F_22514Size_XGBOOST_Class_01_Test.csv,True,limits,1019.507356821275,1050.184323412028,1.950735682127504,494.0,58.2995951417004,0.0001,1000
3C_1H_62F_22514Size_XGBOOST_Class_01_Test.csv,False,limits,9265.166502427803,9265.166502427803,826.5166502427803,1330.0,97.36842105263158,0.0001,1000
