Input_Dataset_Name,Profundidad,TEST_SIZE,VAL_SIZE,Model_Name,DataSet_Size,EPOCAS,ACC_Test,ACC_Train,LAYER1_UNITS
3C-EURUSD_FULL_1D_145F_0.002Sep_1,4,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_1.hdf5,5137,100,0.5157004829999999,0.463786944,8
3C-EURUSD_FULL_1D_145F_0.002Sep_1,4,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_1.hdf5,5137,100,0.5157004829999999,0.463786944,8
3C-EURUSD_FULL_1D_145F_0.002Sep_3,4,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_3.hdf5,5137,100,0.47705314,0.451445274,8
3C-EURUSD_FULL_1D_145F_0.002Sep_3,4,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_3.hdf5,5137,100,0.47705314,0.451445274,8
3C-EURUSD_FULL_1D_145F_0.002Sep_5,11,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_5.hdf5,5137,100,0.491545894,0.478841146,8
3C-EURUSD_FULL_1D_145F_0.002Sep_7,1,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_7.hdf5,5137,100,0.5072463770000001,0.416937054,8
3C-EURUSD_FULL_1D_145F_0.002Sep_9,1,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_9.hdf5,5137,100,0.5036231879999999,0.41369240799999996,8
3C-EURUSD_FULL_1D_145F_0.002Sep_11,4,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_11.hdf5,5137,100,0.423913043,0.468658655,8
3C-EURUSD_FULL_1D_145F_0.002Sep_13,5,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_13.hdf5,5137,100,0.5144927539999999,0.49155295600000004,8
3C-EURUSD_FULL_1D_145F_0.002Sep_15,5,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_15.hdf5,5137,100,0.47342995200000004,0.501299545,8
3C-EURUSD_FULL_1D_145F_0.002Sep_17,5,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_17.hdf5,5137,100,0.512077295,0.47563352799999997,8
3C-EURUSD_FULL_1D_145F_0.002Sep_19,6,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_19.hdf5,5137,100,0.5036231879999999,0.507637309,8
3C-EURUSD_FULL_1D_145F_0.002Sep_21,3,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_21.hdf5,5137,100,0.508454106,0.459415584,8
3C-EURUSD_FULL_1D_145F_0.002Sep_23,3,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_23.hdf5,5137,100,0.510869565,0.425974026,32
3C-EURUSD_FULL_1D_145F_0.002Sep_25,1,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_25.hdf5,5137,30,0.5060386473429952,0.4140168721609345,64
3C-EURUSD_FULL_1D_145F_0.002Sep_27,2,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_27.hdf5,5137,30,0.4963768115942029,0.4186952288218111,64
3C-EURUSD_FULL_1D_145F_0.002Sep_29,3,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_29.hdf5,5137,30,0.5229468599033816,0.4334415584415585,64
3C-EURUSD_FULL_1D_145F_0.002Sep_31,4,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_31.hdf5,5137,30,0.5169082125603864,0.4514452744397532,64
3C-EURUSD_FULL_1D_145F_0.002Sep_33,5,0.2,0.2,3C-EURUSD_FULL_1D_145F_0.002Sep_33.hdf5,5137,30,0.5241545893719807,0.47725795971410007,64
